name,tags,link,experience,lower_salary,upper_salary,currency
Ведущий менеджер по продажам,"['Активные продажи', 'Ведение переговоров', 'Телефонные переговоры', 'Прямые продажи', 'Грамотная речь', 'Деловая переписка', 'Работа в команде', 'Работа с возражениями', 'Поиск и привлечение клиентов']",https://adsrv.hh.ru/click?b=533104&c=7&place=35&meta=kfhDgH_M5JVJrHs5cuI5tisGnuTFuFCnp4ZvSTUM8Smo1slFfbeIPcg4Rk21WgfXK8Kmwu2rJMp_Sed2yiK04AGM75r0Juwbd6395Rc6k2J2xnfDCVv-Tg5hSOdjk7ZJx2P8P0YYoWbmsOQ0y9kDJHvxcKr9BbMwNGTQjZNuP4JmEWuFGVdS3VfXcHIQnsiCXpDkr5Qjf7W60sPMgDGMU_OqAdshjxqvGi06DmhvOx9Oe5XKKHPAkvDCONlejgKtJ6NqicAtaMvpJseQoSgg1wi7oCFL9yyUvQiiPe8XUQKyFsqu4tEkfSJYJNjvN8eD97M2A7BcEnleGuSeyEYx5wUV19SMOz5V8sxGrtQ9fxJ9N-ZThyIz66ToAnQ5t9F_Ck3CjKYnXcP-_UzEw7y4a5LI_eE55CuKq-I66Gmcq2hhj4GjmJahbyKpp-c4rydIDObZv2H3BPEVdwu1V0xDHV3HT_NzGh8NTXa8YjhLUrIUnO4WrUqaZZdF7-WCnFNjqvIZJnTtXMCuv2sKFfvx1w%3D%3D&clickType=link_to_vacancy,Требуемый опыт работы: не требуется,150000,150000,₽
Data Scientist (команда Поиска),"['Python', 'PyTorch', 'SQL', 'Machine Learning', 'Анализ данных', 'data science', 'numpy', 'scipy', 'pandas', 'lightgbm', 'pytorch', 'scikit-learn', 'neural nets', 'nlp', 'search ranking', 'recommender systems', 'a/b-experiments', 'hadoop', 'hive', 'presto', 'Mathematics']",https://saratov.hh.ru/vacancy/83116089?from=vacancy_search_list&query=data,Требуемый опыт работы: 3–6 лет,350000,350000,₽
Data Scientist в b2c направление,"['Python', 'Machine Learning', 'SQL', 'PyTorch', 'Java', 'Numpy', 'Scipy', 'Pandas', 'Scikit-learn', 'Neural nets', 'Nlp', 'Recommender systems', 'Search ranking', 'a/b-experiments', 'Анализ данных', 'hadoop', 'hive', 'presto', 'Mathematics']",https://saratov.hh.ru/vacancy/84009554?from=vacancy_search_list&query=data,Требуемый опыт работы: 3–6 лет,,,
Портфельный риск-аналитик / Middle Data Scientist (модели кредитного риска),[],https://saratov.hh.ru/vacancy/82421077?from=vacancy_search_list&query=data,Требуемый опыт работы: 3–6 лет,,,
Трафик-менеджер,"['Анализ трафика', 'Аналитика', 'Маркетинг', 'Internet Marketing', 'Яндекс.Метрика', 'Интернет маркетинг', 'Таргетинг', 'Miro', 'Jira', 'Google Analytics']",https://saratov.hh.ru/vacancy/84386152?from=vacancy_search_list&query=data,Требуемый опыт работы: 3–6 лет,110000,140000,₽
Data scientist,[],https://saratov.hh.ru/vacancy/85899697?from=vacancy_search_list&query=data,Требуемый опыт работы: 3–6 лет,,,
Data Engineer,[],https://saratov.hh.ru/vacancy/85895055?from=vacancy_search_list&query=data,Требуемый опыт работы: 3–6 лет,250000,250000,₽
Data analyst,"['SQL', 'Анализ данных', 'Clickhouse', 'SuperSet', 'BI системы', 'Математическая статистика', 'Алерты', 'Большие массивы данных', 'AdHoc', 'Отчетность', 'Бизнес', 'Продуктовые гипотезы']",https://saratov.hh.ru/vacancy/85894739?from=vacancy_search_list&query=data,Требуемый опыт работы: 1–3 года,,,
Data Engineer,"['Hadoop', 'Hive', 'Linux', 'SQL', 'PostgreSQL', 'Spark', 'SCALA', 'Git', 'Java']",https://saratov.hh.ru/vacancy/84377474?from=vacancy_search_list&query=data,Требуемый опыт работы: 1–3 года,,,
Data Analyst,"['Python', 'ETL', 'SQL', 'Работа с большим объемом информации', 'Работа с базами данных', 'MS SQL', 'Oracle BI']",https://saratov.hh.ru/vacancy/84685857?from=vacancy_search_list&query=data,Требуемый опыт работы: 1–3 года,,,
Data Engineer,"['Python', 'SQL', 'Математическая статистика', 'ML', 'Data Analysis']",https://saratov.hh.ru/vacancy/84122452?from=vacancy_search_list&query=data,Требуемый опыт работы: 1–3 года,,,
Data Engineer,"['SQL', 'СУБД', 'Power BI', 'ETL', 'Python', 'Tableau', 'Big Data']",https://saratov.hh.ru/vacancy/85893468?from=vacancy_search_list&query=data,Требуемый опыт работы: 1–3 года,,,
Data engineer,"['SQL', 'ETL', 'Python']",https://saratov.hh.ru/vacancy/85893223?from=vacancy_search_list&query=data,Требуемый опыт работы: 1–3 года,,,
Data analyst,"['SQL', 'Математическая статистика', 'Linux', 'Clickhouse', 'BI', 'HTTP', 'Git', 'Python', 'Поиск аномалий', 'Анализ временных рядов']",https://saratov.hh.ru/vacancy/82978778?from=vacancy_search_list&query=data,Требуемый опыт работы: 1–3 года,,,
Data Scientist,"['Python', 'Математическое моделирование']",https://saratov.hh.ru/vacancy/85882570?from=vacancy_search_list&query=data,Требуемый опыт работы: 3–6 лет,,,
Data scientist,"['Python', 'SQL', 'Математическая статистика', 'Статистический анализ', 'Скоринг', 'Бизнес-анализ', 'МФО', 'Риск-аналитик', 'Ретро-тестирование', 'Машинное обучение', 'Fintech', 'Построение скоринговых моделей', 'Риск-метрики', 'Логистическая регрессия', 'Банки', 'Розничные риски', 'A/B тесты', 'Английский\xa0— B1 — Средний']",https://saratov.hh.ru/vacancy/84894644?from=vacancy_search_list&query=data,Требуемый опыт работы: 1–3 года,24,24,
Data Scientist,"['Python', 'Sas', 'SQL', 'R']",https://saratov.hh.ru/vacancy/80232010?from=vacancy_search_list&query=data,Требуемый опыт работы: 3–6 лет,,,
Data Analyst,"['Python', 'SQL', 'Data Mining']",https://saratov.hh.ru/vacancy/84887492?from=vacancy_search_list&query=data,Требуемый опыт работы: 1–3 года,,,
Data Scientist,[],https://saratov.hh.ru/vacancy/85870070?from=vacancy_search_list&query=data,Требуемый опыт работы: 1–3 года,,,
Data Science,[],https://saratov.hh.ru/vacancy/82929509?from=vacancy_search_list&query=data,Требуемый опыт работы: 3–6 лет,,,
Data Engineer (Senior),[],https://saratov.hh.ru/vacancy/84101474?from=vacancy_search_list&query=data,Требуемый опыт работы: 3–6 лет,,,
Data Analyst (SQL),"['SQL', 'Управленческая отчетность', 'SQL запросы', 'Excel', 'OLAP']",https://saratov.hh.ru/vacancy/79598893?from=vacancy_search_list&query=data,Требуемый опыт работы: 1–3 года,,,
"Data engineer (проект с ""0"")","['SQL', 'PostgreSQL', 'Python', 'Greenplum', 'Airflow', 'NiFi', 'ML']",https://saratov.hh.ru/vacancy/84688310?from=vacancy_search_list&query=data,Требуемый опыт работы: 3–6 лет,,,
Data Scientist (CoreML + RecSys),"['Python', 'SQL', 'PyTorch', 'Математическая статистика', 'Keras']",https://saratov.hh.ru/vacancy/82791945?from=vacancy_search_list&query=data,Требуемый опыт работы: 1–3 года,,,
Data engineer (middle),"['SQL', 'Python', 'Git', 'NiFi', 'Spark', 'Kafka', 'Greenplum', 'AirFlow']",https://saratov.hh.ru/vacancy/84371225?from=vacancy_search_list&query=data,Требуемый опыт работы: 1–3 года,,,
Data engineer/Разработчик DWH,"['SQL', 'Hadoop', 'Spark', 'SCALA', 'GreenPlum']",https://saratov.hh.ru/vacancy/80878253?from=vacancy_search_list&query=data,Требуемый опыт работы: 1–3 года,,,
BI Developer / Data Analyst,"['Power BI', 'Data Analysis', 'Agile', 'ETL', 'Английский\xa0— B1 — Средний']",https://saratov.hh.ru/vacancy/85875207?from=vacancy_search_list&query=data,Требуемый опыт работы: 1–3 года,2500,4000,$
ML engineer / Data engineer,"['SQL', 'Python', 'Spark', 'Airflow', 'Hadoop']",https://saratov.hh.ru/vacancy/83650117?from=vacancy_search_list&query=data,Требуемый опыт работы: 1–3 года,,,
"Data engineer/Backend-разработчик (Senior, Data Team)",[],https://saratov.hh.ru/vacancy/85743892?from=vacancy_search_list&query=data,Требуемый опыт работы: 3–6 лет,,,
ETL-разработчик (Data Engineer),"['Python', 'SQL', 'Английский язык', 'Greenplum', 'Clickhouse', 'SAS DI', 'Airflow', 'DWH', 'ETL', 'Kafka']",https://saratov.hh.ru/vacancy/81864083?from=vacancy_search_list&query=data,Требуемый опыт работы: 1–3 года,,,
Data Engineer (Greenplum),"['Oracle Pl/SQL', 'DWH', 'Hadoop', 'Greenplum', 'ORACLE', 'ETL', 'Clickhouse']",https://saratov.hh.ru/vacancy/85848025?from=vacancy_search_list&query=data,Требуемый опыт работы: 3–6 лет,400000,400000,₽
Data Engineering Team Lead,"['SCALA', 'Data Mining', 'Математическое моделирование', 'Kafka', 'Clickhouse', 'Cassandra', 'Data Engineering', 'Python', 'DWH', 'ETL', 'SQL', 'Finagle']",https://saratov.hh.ru/vacancy/78667319?from=vacancy_search_list&query=data,Требуемый опыт работы: 3–6 лет,,,
Team Lead в Data Platform,[],https://saratov.hh.ru/vacancy/84681958?from=vacancy_search_list&query=data,Требуемый опыт работы: 3–6 лет,,,
Data Scientist/BackEnd-разработчик,"['Python', 'SQL', 'Machine Learning']",https://saratov.hh.ru/vacancy/85869070?from=vacancy_search_list&query=data,Требуемый опыт работы: 3–6 лет,2500,3500,$
Senior Data scientist (кредитный скоринг),[],https://saratov.hh.ru/vacancy/85189875?from=vacancy_search_list&query=data,Требуемый опыт работы: 1–3 года,,,
Technical Data Protection Manager,"['Управление проектами', 'Agile Project Management', 'Project management', 'Английский\xa0— A1 — Начальный']",https://saratov.hh.ru/vacancy/84293149?from=vacancy_search_list&query=data,Требуемый опыт работы: 3–6 лет,,,
Аналитик данных / Big Data,"['SQL', 'Python', 'Анализ данных', 'Big Data', 'Data Analysis', 'Работа с базами данных', 'Прогнозирование']",https://saratov.hh.ru/vacancy/85866674?from=vacancy_search_list&query=data,Требуемый опыт работы: 1–3 года,150000,150000,₽
Senior Data инженер в команду Data Финансовой платформы,[],https://saratov.hh.ru/vacancy/84120305?from=vacancy_search_list&query=data,Требуемый опыт работы: 3–6 лет,,,
Data аналитик (Виртуальные ассистенты),"['Python', 'SQL', 'Big Data', 'Data Analysis', 'Hadoop', 'Математический анализ', 'Математическая статистика', 'Теория вероятностей', 'Статистический анализ', 'Умение работать в условиях многозадачности', 'Работа в условиях многозадачности']",https://saratov.hh.ru/vacancy/85860072?from=vacancy_search_list&query=data,Требуемый опыт работы: 3–6 лет,,,
Разработчик нейросетевых алгоритмов / Data Scientist,"['Python', 'PyTorch', 'Английский язык', 'Computer Vision', 'Machine Learning', 'Deep Learning']",https://saratov.hh.ru/vacancy/85585268?from=vacancy_search_list&query=data,Требуемый опыт работы: не требуется,70000,200000,₽
Senior Data Engineer / Руководитель направления разработки DWH,[],https://saratov.hh.ru/vacancy/80857249?from=vacancy_search_list&query=data,Требуемый опыт работы: 3–6 лет,,,
Data Science Team Leader Generative AI,['Английский\xa0— C1 — Продвинутый'],https://saratov.hh.ru/vacancy/85328588?from=vacancy_search_list&query=data,Требуемый опыт работы: более 6 лет,,,
Data Engineer,[],https://saratov.hh.ru/vacancy/85108313?from=vacancy_search_list&query=data,Требуемый опыт работы: 1–3 года,231000,265000,₽
Data engineer / Инженер по работе с базами данных,[],https://saratov.hh.ru/vacancy/84564652?from=vacancy_search_list&query=data,Требуемый опыт работы: 3–6 лет,,,
Аналитик данных / Системный аналитик / Data Analyst (e-commerce),"['SQL', 'MS SQL Server', 'Аналитическое мышление', 'Математическая статистика', 'Python', 'MS Access', 'Анализ данных', 'Бизнес-анализ', 'Аналитические исследования', 'MS SQL', 'Работа с большим объемом информации', 'Работа с базами данных', 'Маркетинговый анализ', 'Подготовка презентаций', 'Transact-SQL', 'Математический анализ', 'Сбор и анализ информации', 'Составление отчетности', 'Алгоритмы', 'Проведение тестирований', 'Математическое моделирование', 'Точность и внимательность к деталям', 'Сводные таблицы', 'Ценовая политика', 'Математическое программирование', 'MS Visual Basic', 'MySQL', 'Аналитика', 'Анализ бизнес показателей', 'Статистический анализ']",https://saratov.hh.ru/vacancy/85586830?from=vacancy_search_list&query=data,Требуемый опыт работы: 1–3 года,100000,150000,₽
